Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
152,1,STEP,6619860269700,6619897539800,37270100,-1
153,1,STEP,6619898801600,6619931254200,32452600,-1
154,1,STEP,6619933443200,6619975239200,41796000,-1
155,1,STEP,6619980496000,6620037339400,56843400,-1
156,1,STEP,6620038791300,6620084890200,46098900,-1
157,1,STEP,6620086295900,6620126363500,40067600,-1
158,1,STEP,6620128449600,6620155080500,26630900,-1
159,1,STEP,6620156670800,6620192138000,35467200,-1
160,1,STEP,6620193392800,6620222469700,29076900,-1
161,1,STEP,6620223609500,6620245514700,21905200,-1
162,1,STEP,6620246949400,6620284220800,37271400,-1
163,1,STEP,6620285594200,6620309058200,23464000,-1
164,1,STEP,6620311017200,6620338602900,27585700,-1
165,1,STEP,6620340063500,6620365421400,25357900,-1
166,1,STEP,6620367543600,6620395762000,28218400,-1
167,1,STEP,6620396840100,6620419695100,22855000,-1
168,1,STEP,6620421202000,6620462534800,41332800,-1
169,1,STEP,6620464199200,6620485793100,21593900,-1
170,1,STEP,6620487173700,6620520441500,33267800,-1
171,1,STEP,6620522030400,6620552113400,30083000,-1
172,1,STEP,6620553364500,6620571884900,18520400,-1
173,1,STEP,6620572879800,6620614311400,41431600,-1
174,1,STEP,6620616773400,6620637402800,20629400,-1
175,1,STEP,6620638428600,6620659556900,21128300,-1
176,1,STEP,6620660870000,6620694803100,33933100,-1
177,1,STEP,6620696232900,6620723985300,27752400,-1
178,1,STEP,6620725143600,6620755919300,30775700,-1
179,1,STEP,6620757226500,6620785966100,28739600,-1
180,1,STEP,6620786972600,6620821836500,34863900,-1
181,1,STEP,6620823839700,6620850975000,27135300,-1
182,1,STEP,6620851995800,6620868986000,16990200,-1
183,1,STEP,6620870135600,6620888270400,18134800,-1
184,1,STEP,6620889652000,6620915875500,26223500,-1
185,1,STEP,6620918164600,6620935517800,17353200,-1
186,1,STEP,6620936757300,6620953336000,16578700,-1
187,1,STEP,6620954554400,6620973641600,19087200,-1
188,1,STEP,6620974646000,6621001095200,26449200,-1
189,1,STEP,6621002622200,6621022960300,20338100,-1
190,1,STEP,6621023990600,6621039529600,15539000,-1
191,1,STEP,6621040756200,6621057149200,16393000,-1
192,1,STEP,6621058191100,6621083669500,25478400,-1
193,1,STEP,6621084892400,6621102388500,17496100,-1
194,1,STEP,6621103362200,6621123169300,19807100,-1
195,1,STEP,6621124435600,6621145503400,21067800,-1
196,1,STEP,6621146879400,6621164580200,17700800,-1
197,1,STEP,6621166464400,6621183806900,17342500,-1
198,1,STEP,6621184994300,6621202599000,17604700,-1
199,1,STEP,6621203835100,6621224832200,20997100,-1
200,1,STEP,6621228406700,6621253214500,24807800,-1
201,1,STEP,6621254807500,6621271271000,16463500,-1
202,1,STEP,6621272346400,6621290697700,18351300,-1
203,1,STEP,6621292282700,6621315218100,22935400,-1
204,1,STEP,6621317723300,6621337227700,19504400,-1
205,1,STEP,6621338203700,6621357755000,19551300,-1
206,1,STEP,6621358881700,6621380942200,22060500,-1
207,1,STEP,6621382358500,6621404544200,22185700,-1
208,1,STEP,6621405825000,6621426168500,20343500,-1
209,1,STEP,6621427856300,6621451319000,23462700,-1
210,1,STEP,6621452883700,6621477129800,24246100,-1
211,1,STEP,6621478806800,6621498432200,19625400,-1
212,1,STEP,6621499374200,6621518277400,18903200,-1
213,1,STEP,6621519175100,6621542133100,22958000,-1
214,1,STEP,6621546388500,6621577093500,30705000,-1
215,1,STEP,6621578962300,6621595341500,16379200,-1
216,1,STEP,6621596473700,6621616602500,20128800,-1
217,1,STEP,6621618228200,6621642577000,24348800,-1
218,1,STEP,6621643939000,6621662236300,18297300,-1
219,1,STEP,6621663540400,6621684319200,20778800,-1
220,1,STEP,6621685880300,6621709065900,23185600,-1
221,1,STEP,6621711042700,6621732922600,21879900,-1
222,1,STEP,6621734096000,6621749912300,15816300,-1
223,1,STEP,6621751501700,6621772754000,21252300,-1
224,1,STEP,6621774289300,6621794865000,20575700,-1
225,1,STEP,6621796260000,6621813761500,17501500,-1
226,1,STEP,6621815652200,6621832701200,17049000,-1
227,1,STEP,6621833906200,6621852919600,19013400,-1
228,1,STEP,6621854297100,6621887209300,32912200,-1
229,1,STEP,6621888543200,6621906308800,17765600,-1
230,1,STEP,6621908078600,6621936608100,28529500,-1
231,1,STEP,6621937907300,6621964187100,26279800,-1
232,1,STEP,6621966449900,6622004668000,38218100,-1
233,1,STEP,6622006571300,6622055281200,48709900,-1
234,1,STEP,6622056577500,6622081887100,25309600,-1
235,1,STEP,6622082972600,6622115055600,32083000,-1
236,1,STEP,6622117816200,6622143027500,25211300,-1
237,1,STEP,6622144341000,6622166203800,21862800,-1
238,1,STEP,6622167591700,6622202450200,34858500,-1
239,1,STEP,6622203847900,6622230522700,26674800,-1
240,1,STEP,6622231761000,6622254661400,22900400,-1
241,1,STEP,6622256256700,6622284156900,27900200,-1
242,1,STEP,6622285432200,6622305738400,20306200,-1
243,1,STEP,6622307055300,6622332650800,25595500,-1
244,1,STEP,6622335912800,6622367474500,31561700,-1
245,1,STEP,6622369834800,6622393826600,23991800,-1
246,1,STEP,6622395252800,6622426262800,31010000,-1
247,1,STEP,6622427835800,6622453507200,25671400,-1
248,1,STEP,6622454551000,6622479964100,25413100,-1
249,1,STEP,6622482321100,6622519509300,37188200,-1
250,1,STEP,6622521648900,6622549844100,28195200,-1
251,1,STEP,6622551225800,6622578582000,27356200,-1
252,1,STEP,6622579937400,6622615661000,35723600,-1
253,1,STEP,6622616774900,6622642276400,25501500,-1
254,1,STEP,6622643630900,6622667882900,24252000,-1
255,1,STEP,6622669133800,6622694934300,25800500,-1
256,1,STEP,6622696282400,6622718364500,22082100,-1
257,1,STEP,6622719262100,6622742261900,22999800,-1
258,1,STEP,6622743841000,6622766725800,22884800,-1
259,1,STEP,6622767687700,6622783236600,15548900,-1
260,1,STEP,6622784225000,6622803361800,19136800,-1
261,1,STEP,6622804968100,6622831890600,26922500,-1
262,1,STEP,6622833953400,6622849648600,15695200,-1
263,1,STEP,6622850906000,6622869234000,18328000,-1
264,1,STEP,6622870173300,6622895452000,25278700,-1
265,1,STEP,6622898723100,6622920480400,21757300,-1
266,1,STEP,6622921756500,6622940149300,18392800,-1
267,1,STEP,6622941356100,6622960691400,19335300,-1
268,1,STEP,6622962761200,6622987658400,24897200,-1
269,1,STEP,6622989673000,6623009699200,20026200,-1
270,1,STEP,6623011032100,6623028536100,17504000,-1
271,1,STEP,6623029448900,6623049042400,19593500,-1
272,1,STEP,6623050516600,6623074712600,24196000,-1
273,1,STEP,6623076042400,6623093519500,17477100,-1
274,1,STEP,6623094830300,6623114904900,20074600,-1
275,1,STEP,6623115988100,6623136005300,20017200,-1
276,1,STEP,6623137251700,6623159148500,21896800,-1
277,1,STEP,6623160311000,6623179528900,19217900,-1
278,1,STEP,6623180554000,6623201645300,21091300,-1
279,1,STEP,6623202979500,6623224307100,21327600,-1
280,1,STEP,6623225780900,6623243730500,17949600,-1
281,1,STEP,6623245295200,6623263658300,18363100,-1
282,1,STEP,6623264685800,6623282925000,18239200,-1
283,1,STEP,6623284181300,6623303052800,18871500,-1
284,1,STEP,6623304150200,6623327231900,23081700,-1
285,1,STEP,6623328233700,6623344153500,15919800,-1
286,1,STEP,6623345279200,6623364579900,19300700,-1
287,1,STEP,6623366004400,6623386585900,20581500,-1
288,1,STEP,6623387811700,6623406808200,18996500,-1
289,1,STEP,6623408138300,6623427972400,19834100,-1
290,1,STEP,6623429270500,6623445185600,15915100,-1
291,1,STEP,6623446447700,6623466594900,20147200,-1
292,1,STEP,6623467774800,6623487659100,19884300,-1
293,1,STEP,6623489309400,6623508109200,18799800,-1
294,1,STEP,6623509433200,6623536438400,27005200,-1
295,1,STEP,6623542241500,6623561199000,18957500,-1
296,1,STEP,6623563467500,6623580791800,17324300,-1
297,1,STEP,6623581787900,6623600357500,18569600,-1
298,1,STEP,6623601702100,6623625372600,23670500,-1
299,1,STEP,6623627206600,6623651245900,24039300,-1
300,1,STEP,6623652232800,6623671284100,19051300,-1
301,1,STEP,6623672954500,6623692204900,19250400,-1
302,1,STEP,6623693792800,6623714049300,20256500,-1
303,1,STEP,6623715828200,6623735797900,19969700,-1
304,1,STEP,6623737086900,6623766098700,29011800,-1
305,1,STEP,6623767458600,6623791437400,23978800,-1
306,1,STEP,6623792969200,6623819826000,26856800,-1
307,1,STEP,6623821982200,6623851095900,29113700,-1
308,1,STEP,6623854645900,6623884217700,29571800,-1
309,1,STEP,6623885624800,6623908945500,23320700,-1
310,1,STEP,6623911571000,6623938723100,27152100,-1
311,1,STEP,6623940361700,6623968144300,27782600,-1
312,1,STEP,6623969399300,6623993037600,23638300,-1
313,1,STEP,6623994465600,6624023271500,28805900,-1
314,1,STEP,6624024762900,6624053049800,28286900,-1
315,1,STEP,6624054418500,6624079636000,25217500,-1
316,1,STEP,6624081215300,6624106477100,25261800,-1
317,1,STEP,6624107833300,6624143322500,35489200,-1
318,1,STEP,6624144809100,6624180725400,35916300,-1
319,1,STEP,6624182543600,6624220940100,38396500,-1
320,1,STEP,6624222346100,6624251996900,29650800,-1
321,1,STEP,6624256007700,6624284848500,28840800,-1
322,1,STEP,6624288712000,6624313488700,24776700,-1
323,1,STEP,6624314777700,6624344148600,29370900,-1
324,1,STEP,6624345715600,6624378682500,32966900,-1
325,1,STEP,6624380441200,6624404350400,23909200,-1
326,1,STEP,6624405752900,6624437922700,32169800,-1
327,1,STEP,6624440269100,6624472393900,32124800,-1
328,1,STEP,6624474506300,6624503674900,29168600,-1
329,1,STEP,6624505508400,6624533616300,28107900,-1
330,1,STEP,6624534716700,6624565200700,30484000,-1
331,1,STEP,6624566782200,6624597197300,30415100,-1
332,1,STEP,6624598386800,6624626045300,27658500,-1
333,1,STEP,6624627499600,6624650836800,23337200,-1
334,1,STEP,6624652288900,6624678000200,25711300,-1
335,1,STEP,6624679065800,6624696441700,17375900,-1
336,1,STEP,6624698026700,6624715321700,17295000,-1
337,1,STEP,6624716465900,6624737087000,20621100,-1
338,1,STEP,6624739565100,6624761511700,21946600,-1
339,1,STEP,6624763048600,6624783011300,19962700,-1
340,1,STEP,6624783918300,6624803697000,19778700,-1
341,1,STEP,6624805695300,6624834934900,29239600,-1
342,1,STEP,6624837939700,6624857828100,19888400,-1
343,1,STEP,6624859206400,6624878180700,18974300,-1
344,1,STEP,6624879429600,6624903564000,24134400,-1
345,1,STEP,6624905161700,6624927784700,22623000,-1
346,1,STEP,6624929087100,6624945292500,16205400,-1
347,1,STEP,6624946574100,6624967636500,21062400,-1
348,1,STEP,6624969126000,6624997056400,27930400,-1
349,1,STEP,6625000227100,6625029319200,29092100,-1
350,1,STEP,6625031403800,6625055430300,24026500,-1
351,1,STEP,6625056891600,6625112872100,55980500,-1
352,1,STEP,6625114154600,6625136836300,22681700,-1
353,1,STEP,6625138265200,6625161959600,23694400,-1
354,1,STEP,6625163393000,6625189935700,26542700,-1
355,1,STEP,6625193050500,6625212589300,19538800,-1
356,1,STEP,6625213895700,6625239873400,25977700,-1
357,1,STEP,6625241344400,6625262682700,21338300,-1
358,1,STEP,6625263917700,6625293132200,29214500,-1
359,1,STEP,6625295229100,6625321686100,26457000,-1
360,1,STEP,6625323031700,6625341067500,18035800,-1
361,1,STEP,6625342656200,6625364092800,21436600,-1
362,1,STEP,6625366721900,6625389434500,22712600,-1
363,1,STEP,6625390971200,6625413322200,22351000,-1
364,1,STEP,6625414391700,6625435014300,20622600,-1
365,1,STEP,6625436694600,6625458791200,22096600,-1
366,1,STEP,6625460322300,6625481800900,21478600,-1
367,1,STEP,6625483093700,6625503895000,20801300,-1
368,1,STEP,6625505338200,6625524084800,18746600,-1
369,1,STEP,6625526723200,6625547179600,20456400,-1
370,1,STEP,6625548471000,6625568358000,19887000,-1
371,1,STEP,6625569790100,6625587602100,17812000,-1
372,1,STEP,6625588774900,6625610615300,21840400,-1
373,1,STEP,6625611797600,6625636930400,25132800,-1
374,1,STEP,6625638365300,6625655885700,17520400,-1
375,1,STEP,6625657091600,6625678276400,21184800,-1
376,1,STEP,6625679288000,6625705690100,26402100,-1
377,1,STEP,6625707433600,6625728541500,21107900,-1
378,1,STEP,6625729854300,6625748200100,18345800,-1
379,1,STEP,6625749242300,6625770791700,21549400,-1
380,1,STEP,6625781592700,6625808494900,26902200,-1
381,1,STEP,6625809950600,6625832611100,22660500,-1
382,1,STEP,6625833796200,6625857075900,23279700,-1
383,1,STEP,6625858827600,6625885924200,27096600,-1
384,1,STEP,6625887370200,6625909855200,22485000,-1
385,1,STEP,6625911264900,6625933891500,22626600,-1
386,1,STEP,6625935315200,6625965093700,29778500,-1
387,1,STEP,6625966491300,6625993574400,27083100,-1
388,1,STEP,6625994929100,6626022053700,27124600,-1
